rank,alpha_small,beta_occlusion,gamma_truncation,delta_hard_class,mAP50,mAP50_95,AP_Car,AP_Pedestrian,AP_Cyclist
1,1.0,0.0,0.5,1.0,0.892,0.619,0.777,0.478,0.601
2,0.0,0.0,0.5,1.0,0.888,0.617,0.770,0.477,0.602
3,0.0,0.0,1.0,0.5,0.887,0.616,0.772,0.476,0.600
4,0.5,0.0,1.0,0.5,0.887,0.612,0.772,0.462,0.602
5,0.5,0.5,0.5,0.5,0.887,0.612,0.774,0.466,0.596
6,1.0,1.0,1.0,1.0,0.887,0.612,0.774,0.466,0.596
7,0.5,0.0,1.0,1.0,0.888,0.610,0.760,0.474,0.597
8,1.0,1.0,0.5,0.5,0.886,0.610,0.780,0.463,0.586
9,0.5,1.0,1.0,0.5,0.886,0.610,0.774,0.465,0.592
10,1.0,0.5,0.0,0.5,0.887,0.609,0.770,0.464,0.594
